"name", "slug"
"18.21 Man Made","1821manmade"
"Acure","acure"
"AG Hair","aghair"
"Ahava","ahava"
"Alleyoop","alleyoop"
"Almay","almay"
"Alpha Skin Care","alphaskincare"
"Alterna","alterna"
"American Crew","americancrew"
"Amazing Cosmetics","amazingcosmetics"
"Amopé","amope"
"Anastasia Beverly Hills","anastasiabeverlyhills"
"Ancient Nutrition","ancientnutrition"
"Andalou Naturals","andalounaturals"
"Ancient Healing Clay","ancienthealingclay"
"Aquage","aquage"
"Aquaphor","aquaphor"
"Arcona","arcona"
"Aquis","aquis"
"Arctic Fox","arcticfox"
"Ardell","ardell"
"Ariana Grande","arianagrande"
"ArtNaturals LUXE","artnaturalsluxe"
"Armani","armani"
"Au Naturale","aunaturale"
"Authentic Beauty Concept","authenticbeautyconcept"
"Australian Glow","australianglow"
"Australian Gold","australiangold"
"Aveeno","aveeno"
"Awake Beauty","awakebeauty"
"Axiology","axiology"
"Azzaro","azzaro"
"Babo Botanicals","babobotanicals"
"Baby Foot","babyfoot"
"BaBylissPRO","babylisspro"
"Bali Body","balibody"
"Banila Co","banilaco"
"Barefoot Scientist","barefootscientist"
"bareMinerals","bareminerals"
"BAR NONE","barnone"
"basd","basd"
"Batiste","batiste"
"Bawdy","bawdy"
"Baxter of California","baxterofcalifornia"
"Beachwaver Co.","beachwaverco"
"B.Bungalow by Beachwaver Co.","bbungalowbybeachwaverco"
"Beauty Bakerie","beautybakerie"
"BeautyBio","beautybio"
"beautyblender","beautyblender"
"Beauty by POPSUGAR","beautybypopsugar"
"Beauty Finds by ULTA Beauty","beautyfindsbyultabeauty"
"BeautyGARDE","beautygarde"
"Beauty Gems","beautygems"
"BECCA Cosmetics","beccacosmetics"
"Beekman 1802","beekman1802"
"BÉIS","beis"
"belif","belif"
"Belli","belli"
"Benefit Cosmetics","benefitcosmetics"
"BH Cosmetics","bhcosmetics"
"Bic","bic"
"Billy Jealousy","billyjealousy"
"Bikini Zone","bikinizone"
"Biobelle","biobelle"
"Biosilk","biosilk"
"Blind Barber","blindbarber"
"Bio-Oil","biooil"
"Bioré","biore"
"Blinking Beauté","blinkingbeaute"
"Bio Ionic","bioionic"
"Blondme","blondme"
"Bliss","bliss"
"Bondi Boost","bondiboost"
"Bondi Sands","bondisands"
"Bosley","bosley"
"boscia","boscia"
"BOTA","bota"
"BROOKLYN & BAILEY","brooklynandbailey"
"Brookstone","brookstone"
"Bumble and bumble","bumbleandbumble"
"Burberry","burberry"
"Botanics","botanics"
"Brite","brite"
"Braun","braun"
"Burt's Bees","burtsbees"
"Buxom","buxom"
"Bvlgari","bvlgari"
"Caboodles","caboodles"
"Cake","cake"
"Calvin Klein","calvinklein"
"Capelli New York","capellinewyork"
"Capri Blue","capriblue"
"Captain Blankenship","captainblankenship"
"Cannuka","cannuka"
"Carbon Theory.","carbontheory"
"Carolina Herrera","carolinaherrera"
"Carol's Daughter","carolsdaughter"
"Catrice","catrice"
"Cela","cela"
"CeraVe","cerave"
"Cetaphil","cetaphil"
"ChapStick","chapstick"
"Chi","chi"
"China Glaze","chinaglaze"
"Chloé","chloe"
"Clairol","clairol"
"Clarins","clarins"
"Clarisma","clarisma"
"Clean","clean"
"Clinique","clinique"
"CND","cnd"
"Coach","coach"
"Coco & Eve","cocoandeve"
"cocokind","cocokind"
"Color Oops","coloroops"
"Color Wow","colorwow"
"ColourPop","colourpop"
"Completely Bare","completelybare"
"Conair","conair"
"Coola","coola"
"COSRX","cosrx"
"CoTz","cotz"
"Cover FX","coverfx"
"CoverGirl","covergirl"
"Cover Your Gray","coveryourgray"
"Crepe Erase","crepeerase"
"Crest","crest"
"Curél","curel"
"Curlsmith","curlsmith"
"da Bomb","dabomb"
"Daily Concepts","dailyconcepts"
"Danielle","danielle"
"Dashing Diva","dashingdiva"
"Ddf","ddf"
"Dearpacker","dearpacker"
"DefineMe Fragrance","definemefragrance"
"Derek Lam 10 Crosby","dereklam10crosby"
"Dermablend","dermablend"
"Dermadoctor","dermadoctor"
"Derma E","dermae"
"Dermaflash","dermaflash"
"Dermalogica","dermalogica"
"Dermelect","dermelect"
"Design Essentials","designessentials"
"DevaCurl","devacurl"
"DHC","dhc"
"Diamond Cosmetics","diamondcosmetics"
"Differin","differin"
"Dionis","dionis"
"Dior","dior"
"DKNY","dkny"
"Dolce&Gabbana","dolcegabbana"
"Donna Karan","donnakaran"
"Dose Of Colors","doseofcolors"
"Double Dare","doubledare"
"dpHUE","dphue"
"Dr. Pawpaw","dr.pawpaw"
"Dr. Brandt","drbrandt"
"Dr.Organic","drorganic"
"Dr. PAWPAW","drpawpaw"
"Dr Roebuck's","drroebucks"
"Dr Teal's","drteals"
"Drybar","drybar"
"Duke Cannon Supply Co","dukecannonsupplyco"
"Dyson","dyson"
"Earth Therapeutics","earththerapeutics"
"Eau de Juice","eaudejuice"
"EcoTools","ecotools"
"Elcie Cosmetics","elciecosmetics"
"Elemis","elemis"
"EleVen by Venus Williams","elevenbyvenuswilliams"
"e.l.f. Cosmetics","elfcosmetics"
"Elizabeth Arden","elizabetharden"
"Elizabeth Taylor","elizabethtaylor"
"ella+mila","ellamila"
"Ellis Brooklyn","ellisbrooklyn"
